"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-9-19","4.05","4.03","4.11","4.02","611.99M","0.50%"
"2025-9-18","4.03","4.11","4.11","4.01","505.78M","-1.47%"
"2025-9-17","4.09","4.13","4.14","4.08","412.63M","-0.97%"
"2025-9-16","4.13","4.22","4.28","4.10","987.81M","-4.62%"
"2025-9-15","4.33","4.39","4.41","4.30","563.27M","-1.14%"
"2025-9-12","4.38","4.46","4.49","4.37","458.02M","-1.79%"
"2025-9-11","4.46","4.43","4.47","4.38","265.26M","0.68%"
"2025-9-10","4.43","4.44","4.46","4.41","292.82M","0.00%"
"2025-9-9","4.43","4.42","4.44","4.39","189.10M","0.45%"
"2025-9-8","4.41","4.46","4.51","4.39","353.65M","-1.34%"
"2025-9-5","4.47","4.48","4.50","4.41","233.74M","-0.22%"
"2025-9-4","4.48","4.51","4.51","4.43","266.63M","-0.67%"
"2025-9-3","4.51","4.56","4.58","4.48","217.35M","-1.10%"
"2025-9-2","4.56","4.52","4.57","4.50","326.02M","1.11%"
"2025-9-1","4.51","4.63","4.67","4.50","515.05M","-1.96%"
"2025-8-29","4.60","4.68","4.75","4.59","477.72M","-1.92%"
"2025-8-28","4.69","4.61","4.72","4.59","319.50M","1.74%"
"2025-8-27","4.61","4.72","4.72","4.61","379.08M","-2.54%"
"2025-8-26","4.73","4.78","4.78","4.71","236.60M","-1.05%"
"2025-8-25","4.78","4.72","4.81","4.70","278.10M","1.06%"
"2025-8-22","4.73","4.76","4.77","4.67","262.99M","-0.63%"
"2025-8-21","4.76","4.71","4.78","4.69","228.06M","1.06%"
"2025-8-20","4.71","4.69","4.75","4.67","185.82M","0.43%"
"2025-8-19","4.69","4.71","4.74","4.68","184.86M","-0.42%"
"2025-8-18","4.71","4.72","4.74","4.68","235.12M","0.21%"
"2025-8-15","4.70","4.83","4.84","4.68","440.25M","-2.69%"
"2025-8-14","4.83","4.87","4.92","4.83","176.77M","-0.62%"
"2025-8-13","4.86","4.96","4.97","4.85","243.65M","-1.62%"
"2025-8-12","4.94","4.89","4.98","4.88","201.10M","1.02%"
"2025-8-11","4.89","4.96","4.98","4.89","224.35M","-1.61%"
"2025-8-8","4.97","4.98","5.03","4.96","202.61M","0.00%"
"2025-8-7","4.97","4.97","4.99","4.93","155.08M","-0.20%"
"2025-8-6","4.98","5.04","5.06","4.97","263.82M","-1.39%"
"2025-8-5","5.05","4.94","5.06","4.92","387.19M","2.43%"
"2025-8-4","4.93","4.88","4.99","4.86","312.65M","0.61%"
"2025-8-1","4.90","4.89","4.91","4.82","247.55M","0.20%"
"2025-7-31","4.89","4.94","4.94","4.83","273.00M","-0.81%"
"2025-7-30","4.93","4.96","5.00","4.91","310.19M","-0.20%"
"2025-7-29","4.94","5.05","5.10","4.92","385.99M","-1.98%"
"2025-7-28","5.04","5.05","5.09","5.02","275.47M","-0.20%"
"2025-7-25","5.05","5.09","5.11","5.03","342.97M","-0.98%"
"2025-7-24","5.10","5.25","5.25","5.07","388.46M","-2.49%"
"2025-7-23","5.23","5.26","5.29","5.21","267.85M","-0.57%"
"2025-7-22","5.26","5.40","5.41","5.22","346.55M","-2.41%"
"2025-7-21","5.39","5.44","5.50","5.32","289.16M","-0.92%"
"2025-7-18","5.44","5.40","5.52","5.40","295.44M","0.55%"
"2025-7-17","5.41","5.34","5.43","5.33","254.55M","1.31%"
"2025-7-16","5.34","5.33","5.36","5.25","226.78M","0.00%"
"2025-7-15","5.34","5.37","5.41","5.31","237.98M","-0.56%"
"2025-7-14","5.37","5.37","5.53","5.36","457.94M","-0.56%"
"2025-7-11","5.40","5.58","5.60","5.40","434.43M","-2.70%"
"2025-7-10","5.55","5.27","5.68","5.27","600.49M","5.31%"
"2025-7-9","5.27","5.26","5.30","5.20","232.44M","0.00%"
"2025-7-8","5.27","5.27","5.33","5.21","229.86M","0.19%"
"2025-7-7","5.26","5.10","5.29","5.09","320.54M","3.34%"
"2025-7-4","5.09","4.96","5.10","4.95","285.53M","2.83%"
"2025-7-3","4.95","4.96","5.00","4.91","147.22M","0.00%"
"2025-7-2","4.95","4.84","4.98","4.83","241.19M","2.06%"
"2025-7-1","4.85","4.75","4.86","4.75","180.89M","2.11%"
"2025-6-30","4.75","4.75","4.78","4.72","162.37M","-0.63%"
"2025-6-27","4.78","4.88","4.98","4.75","326.46M","-2.25%"
"2025-6-26","4.89","4.81","4.93","4.76","236.77M","1.24%"
"2025-6-25","4.83","4.78","4.83","4.72","201.87M","0.84%"
"2025-6-24","4.79","4.80","4.81","4.70","250.37M","-0.21%"
"2025-6-23","4.80","4.78","4.82","4.72","199.52M","0.21%"
"2025-6-20","4.79","4.70","4.82","4.68","240.55M","2.35%"
"2025-6-19","4.68","4.74","4.75","4.65","181.78M","-1.27%"
"2025-6-18","4.74","4.72","4.76","4.67","182.45M","0.42%"
"2025-6-17","4.72","4.79","4.81","4.71","196.76M","-1.67%"
"2025-6-16","4.80","4.75","4.81","4.72","202.63M","0.63%"
"2025-6-13","4.77","4.80","4.82","4.72","232.36M","-0.63%"
"2025-6-12","4.80","4.73","4.81","4.67","237.03M","1.48%"
"2025-6-11","4.73","4.73","4.74","4.64","230.85M","0.21%"
